experiment_name,method,experiment_type,model_name,dataset_name,dataset_display_name,best_val_auc,best_epoch,trained_epochs,metric_source,delta_vs_full
full_dyrift_gnn,DyRIFT-TGAT (Full),full_model,dyrift_gnn,xinye_dgraph,XinYe DGraph,0.792851,7,8,outputs/train/full_dyrift_gnn/dyrift_gnn/xinye_dgraph/epoch_metrics.csv,0.0
linear_same_feature,Linear Same-Feature Baseline,comparison,linear,xinye_dgraph,XinYe DGraph,0.769979,5,10,outputs/train/linear_same_feature/linear/xinye_dgraph/epoch_metrics.csv,-0.022872000000000003
temporal_graphsage_reference,Temporal GraphSAGE Reference,comparison,m5_temporal_graphsage,xinye_dgraph,XinYe DGraph,0.784679,3,8,outputs/train/temporal_graphsage_reference/m5_temporal_graphsage/xinye_dgraph/epoch_metrics.csv,-0.008171999999999957
tgat_style_reference,TGAT Backbone Reference,comparison,m6_temporal_gat,xinye_dgraph,XinYe DGraph,0.784875,7,12,outputs/train/tgat_style_reference/m6_temporal_gat/xinye_dgraph/epoch_metrics.csv,-0.007975999999999983
without_drift_expert,DyRIFT-TGAT w/o Drift Expert,ablation,dyrift_gnn,xinye_dgraph,XinYe DGraph,0.785375,3,8,outputs/train/without_drift_expert/dyrift_gnn/xinye_dgraph/epoch_metrics.csv,-0.007475999999999927
without_prototype_memory,DyRIFT-TGAT w/o Prototype Memory,ablation,dyrift_gnn,xinye_dgraph,XinYe DGraph,0.784713,4,9,outputs/train/without_prototype_memory/dyrift_gnn/xinye_dgraph/epoch_metrics.csv,-0.008137999999999979
without_target_context_bridge,DyRIFT-TGAT w/o Target-Context Bridge,ablation,dyrift_gnn,xinye_dgraph,XinYe DGraph,0.783552,3,8,outputs/train/without_target_context_bridge/dyrift_gnn/xinye_dgraph/epoch_metrics.csv,-0.009298999999999946
full_dyrift_gnn,DyRIFT-TGAT (Full),full_model,dyrift_gnn,elliptic_transactions,Elliptic Transactions,0.821329,4,6,outputs/train/full_dyrift_gnn/dyrift_gnn/elliptic_transactions/epoch_metrics.csv,0.0
linear_same_feature,Linear Same-Feature Baseline,comparison,linear,elliptic_transactions,Elliptic Transactions,0.772373,30,30,outputs/train/linear_same_feature/linear/elliptic_transactions/epoch_metrics.csv,-0.048956
temporal_graphsage_reference,Temporal GraphSAGE Reference,comparison,m5_temporal_graphsage,elliptic_transactions,Elliptic Transactions,0.781086,13,18,outputs/train/temporal_graphsage_reference/m5_temporal_graphsage/elliptic_transactions/epoch_metrics.csv,-0.04024300000000003
tgat_style_reference,TGAT Backbone Reference,comparison,m6_temporal_gat,elliptic_transactions,Elliptic Transactions,0.818442,3,8,outputs/train/tgat_style_reference/m6_temporal_gat/elliptic_transactions/epoch_metrics.csv,-0.002886999999999973
without_drift_expert,DyRIFT-TGAT w/o Drift Expert,ablation,dyrift_gnn,elliptic_transactions,Elliptic Transactions,0.786155,2,7,outputs/train/without_drift_expert/dyrift_gnn/elliptic_transactions/epoch_metrics.csv,-0.03517399999999993
without_prototype_memory,DyRIFT-TGAT w/o Prototype Memory,ablation,dyrift_gnn,elliptic_transactions,Elliptic Transactions,0.819753,3,8,outputs/train/without_prototype_memory/dyrift_gnn/elliptic_transactions/epoch_metrics.csv,-0.0015760000000000218
without_target_context_bridge,DyRIFT-TGAT w/o Target-Context Bridge,ablation,dyrift_gnn,elliptic_transactions,Elliptic Transactions,0.818422,3,8,outputs/train/without_target_context_bridge/dyrift_gnn/elliptic_transactions/epoch_metrics.csv,-0.002906999999999993
full_dyrift_gnn,DyRIFT-TGAT (Full),full_model,dyrift_gnn,ellipticpp_transactions,Elliptic++ Transactions,0.837046,6,30,outputs/train/full_dyrift_gnn/dyrift_gnn/ellipticpp_transactions/epoch_metrics.csv,0.0
linear_same_feature,Linear Same-Feature Baseline,comparison,linear,ellipticpp_transactions,Elliptic++ Transactions,0.602415,27,30,outputs/train/linear_same_feature/linear/ellipticpp_transactions/epoch_metrics.csv,-0.23463099999999992
temporal_graphsage_reference,Temporal GraphSAGE Reference,comparison,m5_temporal_graphsage,ellipticpp_transactions,Elliptic++ Transactions,0.782747,10,15,outputs/train/temporal_graphsage_reference/m5_temporal_graphsage/ellipticpp_transactions/epoch_metrics.csv,-0.054298999999999986
tgat_style_reference,TGAT Backbone Reference,comparison,m6_temporal_gat,ellipticpp_transactions,Elliptic++ Transactions,0.783614,6,11,outputs/train/tgat_style_reference/m6_temporal_gat/ellipticpp_transactions/epoch_metrics.csv,-0.053431999999999924
without_drift_expert,DyRIFT-TGAT w/o Drift Expert,ablation,dyrift_gnn,ellipticpp_transactions,Elliptic++ Transactions,0.783549,8,13,outputs/train/without_drift_expert/dyrift_gnn/ellipticpp_transactions/epoch_metrics.csv,-0.053496999999999906
without_prototype_memory,DyRIFT-TGAT w/o Prototype Memory,ablation,dyrift_gnn,ellipticpp_transactions,Elliptic++ Transactions,0.78294,9,14,outputs/train/without_prototype_memory/dyrift_gnn/ellipticpp_transactions/epoch_metrics.csv,-0.05410599999999999
without_target_context_bridge,DyRIFT-TGAT w/o Target-Context Bridge,ablation,dyrift_gnn,ellipticpp_transactions,Elliptic++ Transactions,0.783154,7,12,outputs/train/without_target_context_bridge/dyrift_gnn/ellipticpp_transactions/epoch_metrics.csv,-0.05389199999999994
