group,setting,planned_max_epochs,min_early_stop_epoch,early_stop_patience,config_source,note
mainline,Full DyRIFT-GNN,70,30,10,configs/dyrift_suite.json,Maintained rerun policy for the accepted pure-GNN route.
comparisons,Plain TRGT Backbone,70,30,10,studies/common/tri_dataset_profile.json; studies/comparisons/plain_trgt_backbone/config.json,Backbone-only GNN comparison under the same epoch policy.
comparisons,TGAT-style Reference,70,30,6,studies/common/tri_dataset_profile.json; studies/comparisons/tgat_style_reference/config.json,Temporal-attention GNN reference under the same epoch policy.
comparisons,Temporal GraphSAGE Reference,70,30,6,studies/common/tri_dataset_profile.json; studies/comparisons/temporal_graphsage_reference/config.json,Temporal neighbor-aggregation GNN reference under the same epoch policy.
comparisons,XGBoost Same Input,70,30,30,studies/comparisons/xgboost_same_input/config.json,Uses 70 boosting rounds with 30-round early stopping; kept as non-GNN reference only.
ablations,w/o Target-Context Bridge,70,30,10,studies/common/tri_dataset_profile.json; studies/ablations/without_target_context_bridge/config.json,Subtractive module ablation under the same epoch policy.
ablations,w/o Drift Expert,70,30,10,studies/common/tri_dataset_profile.json; studies/ablations/without_drift_expert/config.json,Subtractive module ablation under the same epoch policy.
ablations,w/o Prototype Memory,70,30,10,studies/common/tri_dataset_profile.json; studies/ablations/without_prototype_memory/config.json,Subtractive training-method ablation under the same epoch policy.
ablations,w/o Pseudo-Contrastive Temporal Mining,70,30,10,studies/common/tri_dataset_profile.json; studies/ablations/without_pseudo_contrastive/config.json,Subtractive training-method ablation under the same epoch policy.
progressive,Plain TRGT Backbone,70,30,10,studies/common/tri_dataset_profile.json; studies/comparisons/plain_trgt_backbone/config.json,Progressive start row reuses the comparison backbone runner.
progressive,TRGT + Bridge,70,30,10,studies/common/tri_dataset_profile.json; studies/progressive/trgt_bridge/config.json,Progressive method-building run under the same epoch policy.
progressive,TRGT + Bridge + Drift Expert,70,30,10,studies/common/tri_dataset_profile.json; studies/progressive/trgt_bridge_drift/config.json,Progressive method-building run under the same epoch policy.
progressive,TRGT + Bridge + Drift Expert + Prototype Memory,70,30,10,studies/common/tri_dataset_profile.json; studies/progressive/trgt_bridge_drift_prototype/config.json,Progressive method-building run under the same epoch policy.
progressive,TRGT + Bridge + Drift Expert + Prototype Memory + Pseudo-Contrastive,70,30,10,studies/common/tri_dataset_profile.json; studies/progressive/trgt_bridge_drift_prototype_pseudocontrastive/config.json,Progressive method-building run under the same epoch policy.
supplementary,XinYe Joint Train on Phase1+Phase2 with Phase1 Validation,70,30,10,studies/common/tri_dataset_profile.json; studies/supplementary/xinye_phase12_joint_train_phase1_val/config.json,Supplementary diagnostic run; not the official leakage-free mainline.
