group,setting_id,setting_label,dataset,suite_name,val_auc_mean,delta_vs_official_backbone,summary_path,graph_config_overrides,description
backbone_ablation,official_backbone,Official Backbone,xinye_dgraph,thesis_m7_v4_unified_e8,0.7764386280758079,0.0,experiment/outputs/training/models/m7_utpm/thesis_m7_v4_unified_e8_xy/summary.json,[],Unified pure m7_utpm backbone without decision-layer correction.
backbone_ablation,official_backbone,Official Backbone,elliptic_transactions,thesis_m7_v4_unified_e8,0.8126351671771074,0.0,experiment/outputs/elliptic_transactions/training/models/m7_utpm/thesis_m7_v4_unified_e8_et/summary.json,[],Unified pure m7_utpm backbone without decision-layer correction.
backbone_ablation,official_backbone,Official Backbone,ellipticpp_transactions,thesis_m7_v4_unified_e8,0.7776108623312455,0.0,experiment/outputs/ellipticpp_transactions/training/models/m7_utpm/thesis_m7_v4_unified_e8_epp/summary.json,[],Unified pure m7_utpm backbone without decision-layer correction.
backbone_ablation,ablate_no_prototype,No Prototype Memory,xinye_dgraph,thesis_m7_v4_ablate_noprototype,0.7773908092062629,0.0009521811304550321,experiment/outputs/training/models/m7_utpm/thesis_m7_v4_ablate_noprototype_xy/summary.json,"[""prototype_multiclass_num_classes=0"", ""prototype_loss_weight=0.0"", ""prototype_loss_weight_schedule=none"", ""prototype_loss_min_weight=0.0"", ""prototype_neighbor_blend=0.0"", ""prototype_global_blend=0.0"", ""prototype_consistency_weight=0.0"", ""prototype_separation_weight=0.0""]",Disable prototype loss and prototype memory blending inside the GNN backbone.
backbone_ablation,ablate_no_prototype,No Prototype Memory,elliptic_transactions,thesis_m7_v4_ablate_noprototype,0.8122749570009832,-0.00036021017612419826,experiment/outputs/elliptic_transactions/training/models/m7_utpm/thesis_m7_v4_ablate_noprototype_et/summary.json,"[""prototype_multiclass_num_classes=0"", ""prototype_loss_weight=0.0"", ""prototype_loss_weight_schedule=none"", ""prototype_loss_min_weight=0.0"", ""prototype_neighbor_blend=0.0"", ""prototype_global_blend=0.0"", ""prototype_consistency_weight=0.0"", ""prototype_separation_weight=0.0""]",Disable prototype loss and prototype memory blending inside the GNN backbone.
backbone_ablation,ablate_no_prototype,No Prototype Memory,ellipticpp_transactions,thesis_m7_v4_ablate_noprototype,0.7783652133308666,0.0007543509996210673,experiment/outputs/ellipticpp_transactions/training/models/m7_utpm/thesis_m7_v4_ablate_noprototype_epp/summary.json,"[""prototype_multiclass_num_classes=0"", ""prototype_loss_weight=0.0"", ""prototype_loss_weight_schedule=none"", ""prototype_loss_min_weight=0.0"", ""prototype_neighbor_blend=0.0"", ""prototype_global_blend=0.0"", ""prototype_consistency_weight=0.0"", ""prototype_separation_weight=0.0""]",Disable prototype loss and prototype memory blending inside the GNN backbone.
backbone_ablation,ablate_no_pseudocontrast,No Pseudo-Contrastive Mining,xinye_dgraph,thesis_m7_v4_ablate_nopseudocontrast,0.7758603987980839,-0.0005782292777239961,experiment/outputs/training/models/m7_utpm/thesis_m7_v4_ablate_nopseudocontrast_xy/summary.json,"[""pseudo_contrastive_weight=0.0""]",Disable temporal pseudo-contrastive mining inside the GNN backbone.
backbone_ablation,ablate_no_pseudocontrast,No Pseudo-Contrastive Mining,elliptic_transactions,thesis_m7_v4_ablate_nopseudocontrast,0.7949266007388803,-0.017708566438227047,experiment/outputs/elliptic_transactions/training/models/m7_utpm/thesis_m7_v4_ablate_nopseudocontrast_et/summary.json,"[""pseudo_contrastive_weight=0.0""]",Disable temporal pseudo-contrastive mining inside the GNN backbone.
backbone_ablation,ablate_no_pseudocontrast,No Pseudo-Contrastive Mining,ellipticpp_transactions,thesis_m7_v4_ablate_nopseudocontrast,0.777350323431778,-0.00026053889946753284,experiment/outputs/ellipticpp_transactions/training/models/m7_utpm/thesis_m7_v4_ablate_nopseudocontrast_epp/summary.json,"[""pseudo_contrastive_weight=0.0""]",Disable temporal pseudo-contrastive mining inside the GNN backbone.
backbone_ablation,ablate_no_drift_residual,No Drift Residual Context,xinye_dgraph,thesis_m7_v4_ablate_nodriftresidual,0.7772436092779985,0.0008049812021906355,experiment/outputs/training/models/m7_utpm/thesis_m7_v4_ablate_nodriftresidual_xy/summary.json,"[""target_context_fusion=none"", ""target_time_adapter_strength=0.0"", ""target_time_expert_entropy_weight=0.0"", ""normal_bucket_align_weight=0.0"", ""normal_bucket_adv_weight=0.0"", ""context_residual_scale=0.0"", ""context_residual_clip=0.0"", ""context_residual_budget=0.0"", ""context_residual_budget_weight=0.0"", ""context_residual_budget_schedule=none"", ""context_residual_budget_min_weight=0.0"", ""context_residual_budget_release_epochs=0"", ""context_residual_budget_release_delay_epochs=0""]",Disable target-context residual fusion and time-adapter drift correction.
backbone_ablation,ablate_no_drift_residual,No Drift Residual Context,elliptic_transactions,thesis_m7_v4_ablate_nodriftresidual,0.8163543094749718,0.0037191422978644084,experiment/outputs/elliptic_transactions/training/models/m7_utpm/thesis_m7_v4_ablate_nodriftresidual_et/summary.json,"[""target_context_fusion=none"", ""target_time_adapter_strength=0.0"", ""target_time_expert_entropy_weight=0.0"", ""normal_bucket_align_weight=0.0"", ""normal_bucket_adv_weight=0.0"", ""context_residual_scale=0.0"", ""context_residual_clip=0.0"", ""context_residual_budget=0.0"", ""context_residual_budget_weight=0.0"", ""context_residual_budget_schedule=none"", ""context_residual_budget_min_weight=0.0"", ""context_residual_budget_release_epochs=0"", ""context_residual_budget_release_delay_epochs=0""]",Disable target-context residual fusion and time-adapter drift correction.
backbone_ablation,ablate_no_drift_residual,No Drift Residual Context,ellipticpp_transactions,thesis_m7_v4_ablate_nodriftresidual,0.7790953281537931,0.001484465822547576,experiment/outputs/ellipticpp_transactions/training/models/m7_utpm/thesis_m7_v4_ablate_nodriftresidual_epp/summary.json,"[""target_context_fusion=none"", ""target_time_adapter_strength=0.0"", ""target_time_expert_entropy_weight=0.0"", ""normal_bucket_align_weight=0.0"", ""normal_bucket_adv_weight=0.0"", ""context_residual_scale=0.0"", ""context_residual_clip=0.0"", ""context_residual_budget=0.0"", ""context_residual_budget_weight=0.0"", ""context_residual_budget_schedule=none"", ""context_residual_budget_min_weight=0.0"", ""context_residual_budget_release_epochs=0"", ""context_residual_budget_release_delay_epochs=0""]",Disable target-context residual fusion and time-adapter drift correction.
decision_reference,official_gnn_primary_blend,Official GNN-primary Blend,xinye_dgraph,thesis_m7_v4_graphpropblend082,0.7952929882597335,0.01885436018392561,experiment/outputs/training/blends/thesis_m7_v4_graphpropblend082_xy/summary.json,[],Current official thesis result with GNN-primary fixed logit fusion (alpha=0.82).
decision_reference,official_gnn_primary_blend,Official GNN-primary Blend,elliptic_transactions,thesis_m7_v4_graphpropblend082,0.949435862593804,0.1368006954166966,experiment/outputs/elliptic_transactions/training/blends/thesis_m7_v4_graphpropblend082_et/summary.json,[],Current official thesis result with GNN-primary fixed logit fusion (alpha=0.82).
decision_reference,official_gnn_primary_blend,Official GNN-primary Blend,ellipticpp_transactions,thesis_m7_v4_graphpropblend082,0.9465836685331215,0.16897280620187594,experiment/outputs/ellipticpp_transactions/training/blends/thesis_m7_v4_graphpropblend082_epp/summary.json,[],Current official thesis result with GNN-primary fixed logit fusion (alpha=0.82).
